symbol
BTC
ETH
BNB
XRP
SOL
ADA
DOGE
MATIC
LTC
TRX
AVAX
LINK
ATOM
NEAR
ALGO
FTM
SUSHI
UNI
AAVE
COMP
BCH
FIL
XLM
MANA
GRT
EGLD
CHZ
ZEC
CRV
INJ
APT
OP
AR
DYDX
RNDR
DOT
ETC
BONK
TIA
JUP
PEPE
SHIB
VET
KAVA
RUNE
WLD
PYTH
SAGA
ORDI
SEI
STX
SKL
SAND
GALA
MAGIC
